algoritmo,condicao,tamanho,rodada,tempo_ms,comparacoes,permitir_repetidos
bublesort,aleatorio,500,1,5.58,124750.00,Nao
bublesort,aleatorio,500,2,5.46,124750.00,Nao
bublesort,aleatorio,500,3,5.54,124750.00,Nao
bublesort,aleatorio,500,MEDIA (n=3),5.53,124750.00,Nao
bublesort,crescente,500,1,3.53,124750.00,Nao
bublesort,crescente,500,2,3.67,124750.00,Nao
bublesort,crescente,500,3,4.51,124750.00,Nao
bublesort,crescente,500,MEDIA (n=3),3.91,124750.00,Nao
bublesort,decrescente,500,1,5.93,124750.00,Nao
bublesort,decrescente,500,2,6.10,124750.00,Nao
bublesort,decrescente,500,3,6.00,124750.00,Nao
bublesort,decrescente,500,MEDIA (n=3),6.01,124750.00,Nao
