algoritmo,condicao,tamanho,rodada,tempo_ms,comparacoes,permitir_repetidos
heap,aleatorio,500,1,0.54,7406.00,Nao
heap,aleatorio,500,2,0.55,7386.00,Nao
heap,aleatorio,500,3,0.51,7403.00,Nao
heap,aleatorio,500,MEDIA (n=3),0.53,7398.33,Nao
heap,crescente,500,1,1.34,7756.00,Nao
heap,crescente,500,2,1.97,7756.00,Nao
heap,crescente,500,3,0.57,7756.00,Nao
heap,crescente,500,MEDIA (n=3),1.29,7756.00,Nao
heap,decrescente,500,1,1.18,7010.00,Nao
heap,decrescente,500,2,1.19,7010.00,Nao
heap,decrescente,500,3,0.52,7010.00,Nao
heap,decrescente,500,MEDIA (n=3),0.96,7010.00,Nao
